,From Date,PM10,NO,NO2,WS,CO,Benzene,NOx,Ozone,SO2,NH3,Toluene,PM2.5,Date,year,month,day,hour,minute
54,19-01-2019 00:00,649.53,62.575,69.34,0.3,1.9,20.9,91.86,12.37,6.14,39.23,60.69,381.16,2019-01-19 00:00:00,2019,1,19,0,0
55,19-01-2019 08:00,445.09,0.3,0.43,0.51,1.6,11.65,0.48,12.86,9.98,0.17,40.3,283.91,2019-01-19 08:00:00,2019,1,19,8,0
56,19-01-2019 16:00,656.6,224.91,217.13,0.3,5.32,20.58,268.99,17.09,23.3,71.67,104.58,370.41,2019-01-19 16:00:00,2019,1,19,16,0
57,20-01-2019 00:00,776.33,62.575,171.29,0.3,3.69,28.99,91.86,98.13,14,85.91,126.82,601.88,2019-01-20 00:00:00,2019,1,20,0,0
58,20-01-2019 08:00,549.19,84.21,239.05,0.57,2.57,15.67,191.3,54.52,19.3,112.4,81.12,344.56,2019-01-20 08:00:00,2019,1,20,8,0
59,20-01-2019 16:00,567.34,197.18,188.89,0.34,1.9,14.5,261.89,14.88,20.99,115.95,95.52,256.22,2019-01-20 16:00:00,2019,1,20,16,0
60,21-01-2019 00:00,461.12,172.34,124.57,0.41,1.9,13.72,204.05,16.41,6.1,108.38,110.21,280.19,2019-01-21 00:00:00,2019,1,21,0,0
61,21-01-2019 08:00,328.12,28.22,92.29,2.91,1.33,7.81,72.08,13.57,9.75,110.04,32.54,155.28,2019-01-21 08:00:00,2019,1,21,8,0
62,21-01-2019 16:00,160.31,36.39,75.03,3.52,1.79,3.05,69.58,15.67,5.76,35.92,29.99,71.88,2019-01-21 16:00:00,2019,1,21,16,0
63,22-01-2019 00:00,56.28,11.37,57.23,2.16,1.9,1.91,39.7,12.05,4.39,40.41,38.65,51.22,2019-01-22 00:00:00,2019,1,22,0,0
64,22-01-2019 08:00,68.22,39.29,74.62,1.47,4.74,3.45,71.73,12.52,6.13,43.06,34.78,52.5,2019-01-22 08:00:00,2019,1,22,8,0
65,22-01-2019 16:00,91.94,43.78,68.31,0.69,5.08,4.68,70.25,27.34,6.6,45.88,50.98,66.31,2019-01-22 16:00:00,2019,1,22,16,0
66,23-01-2019 00:00,186.72,179.68,39.92,0.32,1.9,7.66,167.74,19.31,8.04,48.61,35.39,138.75,2019-01-23 00:00:00,2019,1,23,0,0
67,23-01-2019 08:00,225.28,99.22,132.61,0.82,1.9,10.02,151.44,13.28,6.3,48.41,45.22,152.44,2019-01-23 08:00:00,2019,1,23,8,0
68,23-01-2019 16:00,443.84,234.18,113.25,0.35,1.9,17.48,251.2,12.9,10.56,52.92,64.86,209.47,2019-01-23 16:00:00,2019,1,23,16,0
69,24-01-2019 00:00,305.53,83.73,65.03,0.3,3.38,10.05,102.9,12.61,5.39,53.56,42.6,183.72,2019-01-24 00:00:00,2019,1,24,0,0
70,24-01-2019 08:00,217.78,38.76,81.2,1.12,4.24,6.25,74.78,42.34,12.72,49.62,53.83,131.94,2019-01-24 08:00:00,2019,1,24,8,0
71,24-01-2019 16:00,215.81,101.56,79.52,1.16,0.01,6.01,125.06,12.03,7.23,47.48,41.06,86.25,2019-01-24 16:00:00,2019,1,24,16,0
72,25-01-2019 00:00,90.88,59.38,58.06,0.47,7.21,3.43,79.35,12.02,4.08,46.71,28.63,61.47,2019-01-25 00:00:00,2019,1,25,0,0
73,25-01-2019 08:00,152.88,66.5,90.12,0.83,5.17,4.14,102.35,13.54,7.54,46.38,38.53,73.84,2019-01-25 08:00:00,2019,1,25,8,0
74,25-01-2019 16:00,228.19,96.48,93.44,0.81,2.57,6.55,128.37,11.76,6.48,50.68,47.06,100.59,2019-01-25 16:00:00,2019,1,25,16,0
75,26-01-2019 00:00,168.09,59.05,64.2,0.52,3.13,4.83,82.27,12.66,3.58,49.24,40.14,97.25,2019-01-26 00:00:00,2019,1,26,0,0
76,26-01-2019 08:00,187.09,65.28,90.8,1.31,0.76,4.07,101.48,17.47,12.17,48.01,37.11,85.34,2019-01-26 08:00:00,2019,1,26,8,0
77,26-01-2019 16:00,204.41,127.41,92.8,0.82,3.87,5.57,153.33,14.39,8.35,50.02,33.04,100.84,2019-01-26 16:00:00,2019,1,26,16,0
78,27-01-2019 00:00,242.81,131.96,77.42,0.38,2.53,5.7,149.13,12.92,5.51,51.49,43.42,136.91,2019-01-27 00:00:00,2019,1,27,0,0
79,27-01-2019 08:00,226.94,103.1,78.62,1.6,2.28,4.57,125.82,17.27,7.66,49.09,39.91,115.03,2019-01-27 08:00:00,2019,1,27,8,0
80,27-01-2019 16:00,254.69,149.95,104.9,0.77,1.9,6.89,178.03,12.89,8.39,47.95,40.85,130.5,2019-01-27 16:00:00,2019,1,27,16,0
81,28-01-2019 00:00,219.78,118.48,83.57,0.7,1.74,5.12,141.21,11.74,6.4,50.39,30,137.28,2019-01-28 00:00:00,2019,1,28,0,0
82,28-01-2019 08:00,233.94,112.29,94.49,1.91,1.94,8.68,141.92,18.79,6.9,47.89,31.02,106.34,2019-01-28 08:00:00,2019,1,28,8,0
83,28-01-2019 16:00,259.78,195.35,104.75,0.84,4.23,8.69,215.01,13.44,8.32,48.8,48.83,123.66,2019-01-28 16:00:00,2019,1,28,16,0
84,29-01-2019 00:00,225.47,138.55,85.85,0.62,1.64,5.66,158.6,9.85,5.73,50.69,45.86,143.41,2019-01-29 00:00:00,2019,1,29,0,0
85,29-01-2019 08:00,247.6,110.81,98.76,1.53,2.54,5.09,142.82,21.89,11.37,29.78,36.45,130.46,2019-01-29 08:00:00,2019,1,29,8,0
86,29-01-2019 16:00,430.12,318.74,123.74,0.47,2.72,12.61,324.68,16.57,18.3,14.02,62.54,176.38,2019-01-29 16:00:00,2019,1,29,16,0
87,30-01-2019 00:00,422.28,232.08,99.68,0.3,1.21,9.84,243.95,11.22,21.94,12.88,45.07,231.03,2019-01-30 00:00:00,2019,1,30,0,0
88,30-01-2019 08:00,403.94,149.38,113.01,0.75,1.55,8.62,181.8,34.58,27.48,16.95,40.62,206.38,2019-01-30 08:00:00,2019,1,30,8,0
89,30-01-2019 16:00,581.37,314.66,140.31,0.32,4.7,15.25,329.8,20.82,47.43,24.82,128.18,279.69,2019-01-30 16:00:00,2019,1,30,16,0
90,31-01-2019 00:00,688.39,247.61,96.86,0.38,2.34,17.62,253.56,24.36,41.26,41.72,121.98,405.75,2019-01-31 00:00:00,2019,1,31,0,0
91,31-01-2019 08:00,324.06,22.6,68.56,2.41,1.78,7.61,54.88,43.43,19.84,29.4,55.72,165.94,2019-01-31 08:00:00,2019,1,31,8,0
92,31-01-2019 16:00,250.22,16.61,82.36,1.46,0.65,6.24,57.34,29.28,6.89,24,41.92,122.03,2019-01-31 16:00:00,2019,1,31,16,0
